Date_Time,open,high,low,close
1/1/2019 23:00:00,2493,2493,2492.75,2493
1/1/2019 23:00:20,2493.25,2493.5,2493.25,2493.5
1/1/2019 23:00:40,2493.25,2493.25,2493,2493.25
1/1/2019 23:01:00,2493.5,2493.5,2493.25,2493.25
1/1/2019 23:01:20,2493.25,2493.5,2493.25,2493.25
1/1/2019 23:01:40,2493.25,2493.25,2492.75,2492.75
1/1/2019 23:02:00,2492.75,2492.75,2492.75,2492.75
1/1/2019 23:02:20,2492.5,2492.5,2492,2492
1/1/2019 23:02:40,2492,2492,2491.75,2491.75
1/1/2019 23:03:00,2491.75,2491.75,2490.25,2490.25
1/1/2019 23:03:20,2490,2490,2479,2485.25
1/1/2019 23:03:40,2485.5,2488,2480.75,2483.25
1/1/2019 23:04:00,2483.25,2484.5,2482.75,2483
1/1/2019 23:04:20,2483,2484,2481.75,2483
1/1/2019 23:04:40,2483.25,2484.25,2483.25,2484.25
1/1/2019 23:05:00,2484.25,2484.5,2483.25,2484.25
1/1/2019 23:05:20,2484,2484,2483,2483.25
1/1/2019 23:05:40,2483,2483,2481.75,2482.25
1/1/2019 23:06:00,2482.25,2483,2482,2482.75
1/1/2019 23:06:20,2482.75,2483,2482.5,2483
1/1/2019 23:06:40,2482.75,2483.5,2482.75,2483
1/1/2019 23:07:00,2483,2483.5,2482.5,2482.75
1/1/2019 23:07:20,2482.75,2483.75,2482.5,2483.5
1/1/2019 23:07:40,2483.25,2483.5,2483,2483
1/1/2019 23:08:00,2483,2483.5,2483,2483.5
1/1/2019 23:08:20,2483.5,2483.5,2483,2483.25
1/1/2019 23:08:40,2483.5,2484.25,2483,2483
1/1/2019 23:09:00,2483.25,2483.75,2483.25,2483.25
1/1/2019 23:09:20,2483,2483.25,2482.75,2482.75
1/1/2019 23:09:40,2482.75,2483.5,2482.75,2483.25
1/1/2019 23:10:00,2483.25,2483.5,2483.25,2483.25
1/1/2019 23:10:20,2483.25,2483.5,2482.75,2482.75
1/1/2019 23:10:40,2482.75,2483.75,2482.75,2483.75
1/1/2019 23:11:00,2483.5,2483.5,2482.5,2483
1/1/2019 23:11:20,2482.75,2482.75,2482,2482.25
1/1/2019 23:11:40,2482.25,2482.75,2481.25,2481.25
1/1/2019 23:12:00,2481.5,2481.5,2480.5,2480.75
1/1/2019 23:12:20,2480.75,2481.75,2480.25,2481.5
